sample_id,repository_url,category,description,notes
38,https://github.com/encode/httpx,Category 5: Small Frameworks,Next-gen HTTP client,"Async HTTP client, clean implementation"
39,https://github.com/google/python-fire,Category 5: Small Frameworks,Auto-generate CLIs from any Python object,"Clean metaprogramming, reflection-based"
40,https://github.com/streamlit/streamlit,Category 5: Small Frameworks,App framework for ML/data science,Clean reactive programming model
41,https://github.com/karpathy/llama2.c,Category 1: From Scratch,Pure C inference for Llama 2 with Python training code,"Minimal implementation, excellent for learning LLM internals"
42,https://github.com/karpathy/nn-zero-to-hero,Category 1: From Scratch,Neural networks from scratch video series code,Educational masterpiece with videos
43,https://github.com/labmlai/annotated_deep_learning_paper_implementations,Category 1: From Scratch,Paper implementations with annotations,"Excellent documentation, many architectures"
44,https://github.com/lucidrains/DALLE2-pytorch,Category 1: From Scratch,DALL-E 2 implementation in PyTorch,Clean diffusion model code
45,https://github.com/lucidrains/imagen-pytorch,Category 1: From Scratch,Google Imagen implementation,Text-to-image diffusion model
46,https://github.com/suno-ai/bark,Category 1: From Scratch,Text-to-audio model,Transformer-based audio generation
47,https://github.com/coqui-ai/TTS,Category 1: From Scratch,Text-to-speech library,Multiple TTS models implemented
48,https://github.com/xinntao/Real-ESRGAN,Category 1: From Scratch,Practical image restoration,Super-resolution implementation
49,https://github.com/TencentARC/GFPGAN,Category 1: From Scratch,Face restoration GAN,Face enhancement model
50,https://github.com/sczhou/CodeFormer,Category 1: From Scratch,Face restoration with codebook,Transformer-based face restoration
51,https://github.com/lllyasviel/ControlNet,Category 1: From Scratch,Adding control to diffusion,Conditional image generation
52,https://github.com/mlfoundations/open_clip,Category 1: From Scratch,Open source CLIP implementation,Reproducible CLIP training
53,https://github.com/facebookresearch/mae,Category 1: From Scratch,Masked Autoencoders,Self-supervised vision learning
54,https://github.com/facebookresearch/dino,Category 1: From Scratch,Self-distillation with no labels,Vision transformer training
55,https://github.com/facebookresearch/dinov2,Category 1: From Scratch,DINOv2 self-supervised,Improved self-supervised vision
56,https://github.com/EleutherAI/gpt-neox,Category 1: From Scratch,GPT-NeoX-20B implementation,Large-scale LLM training
57,https://github.com/EleutherAI/gpt-neo,Category 1: From Scratch,GPT-Neo implementation,Open source GPT alternative
58,https://github.com/bigscience-workshop/petals,Category 1: From Scratch,Distributed LLM inference,Run LLMs collaboratively
59,https://github.com/facebookresearch/detr,Category 1: From Scratch,Detection Transformer,End-to-end object detection
60,https://github.com/microsoft/Swin-Transformer,Category 1: From Scratch,Swin Transformer implementation,Hierarchical vision transformer
61,https://github.com/facebookresearch/ConvNeXt,Category 1: From Scratch,Modernized ConvNet,A ConvNet for the 2020s
62,https://github.com/haotian-liu/LLaVA,Category 1: From Scratch,Large Language and Vision Assistant,Visual instruction tuning
63,https://github.com/clovaai/deep-text-recognition-benchmark,Category 1: From Scratch,Text recognition benchmark,STR model collection
64,https://github.com/JaidedAI/EasyOCR,Category 1: From Scratch,Easy-to-use OCR,Multi-language OCR
65,https://github.com/clovaai/CRAFT-pytorch,Category 1: From Scratch,Text detection model,Character region awareness
66,https://github.com/ytdl-org/youtube-dl,Category 2: Domain Specific,Download videos from YouTube,Comprehensive video downloader
67,https://github.com/yt-dlp/yt-dlp,Category 2: Domain Specific,Feature-rich youtube-dl fork,"Active development, more features"
68,https://github.com/3b1b/manim,Category 2: Domain Specific,Math animation engine,Mathematical animations
69,https://github.com/ManimCommunity/manim,Category 2: Domain Specific,Community fork of manim,Improved manim version
70,https://github.com/sherlock-project/sherlock,Category 2: Domain Specific,Hunt usernames across social networks,OSINT tool
71,https://github.com/locustio/locust,Category 2: Domain Specific,Load testing tool,Scalable user simulation
72,https://github.com/mitmproxy/mitmproxy,Category 2: Domain Specific,Interactive HTTPS proxy,Network debugging tool
73,https://github.com/sqlmapproject/sqlmap,Category 2: Domain Specific,SQL injection tool,Security testing
74,https://github.com/s0md3v/XSStrike,Category 2: Domain Specific,XSS scanner,Cross-site scripting detection
75,https://github.com/maurosoria/dirsearch,Category 2: Domain Specific,Web path scanner,Directory brute forcing
76,https://github.com/laramies/theHarvester,Category 2: Domain Specific,Email and subdomain harvester,OSINT gathering
77,https://github.com/Gallopsled/pwntools,Category 2: Domain Specific,CTF toolkit,Exploit development
78,https://github.com/python-telegram-bot/python-telegram-bot,Category 2: Domain Specific,Telegram bot API,Bot development
79,https://github.com/Rapptz/discord.py,Category 2: Domain Specific,Discord API wrapper,Discord bot development
80,https://github.com/tweepy/tweepy,Category 2: Domain Specific,Twitter API library,Twitter integration
81,https://github.com/praw-dev/praw,Category 2: Domain Specific,Reddit API wrapper,Reddit integration
82,https://github.com/burnash/gspread,Category 2: Domain Specific,Google Sheets API,Spreadsheet automation
83,https://github.com/RaRe-Technologies/gensim,Category 2: Domain Specific,Topic modelling library,NLP topic models
84,https://github.com/nltk/nltk,Category 2: Domain Specific,Natural Language Toolkit,Classic NLP library
85,https://github.com/sloria/TextBlob,Category 2: Domain Specific,Simple NLP library,Easy text processing
86,https://github.com/stanfordnlp/stanza,Category 2: Domain Specific,Stanford NLP library,Multi-language NLP
87,https://github.com/flairNLP/flair,Category 2: Domain Specific,State-of-art NLP,"NER, POS tagging"
88,https://github.com/deepset-ai/haystack,Category 2: Domain Specific,NLP framework,"Question answering, RAG"
89,https://github.com/chroma-core/chroma,Category 2: Domain Specific,Vector database,AI-native embedding database
90,https://github.com/facebookresearch/faiss,Category 2: Domain Specific,Similarity search library,Efficient similarity search
91,https://github.com/spotify/annoy,Category 2: Domain Specific,Approximate nearest neighbors,Memory-efficient ANN
92,https://github.com/celery/celery,Category 2: Domain Specific,Distributed task queue,Async task processing
93,https://github.com/rq/rq,Category 2: Domain Specific,Simple job queue,Redis-based queue
94,https://github.com/fabric/fabric,Category 2: Domain Specific,SSH command execution,Remote administration
95,https://github.com/paramiko/paramiko,Category 2: Domain Specific,SSH2 protocol library,SSH implementation
96,https://github.com/donnemartin/interactive-coding-challenges,Category 3: Algorithms,Interactive coding challenges,Jupyter notebooks with solutions
97,https://github.com/faif/python-patterns,Category 3: Algorithms,Design patterns in Python,Comprehensive pattern collection
98,https://github.com/networkx/networkx,Category 3: Algorithms,Graph algorithms library,Comprehensive graph library
99,https://github.com/pytransitions/transitions,Category 3: Algorithms,State machine library,Lightweight FSM
100,https://github.com/grantjenks/python-sortedcontainers,Category 3: Algorithms,Sorted collections,"SortedList, SortedDict"
101,https://github.com/seperman/deepdiff,Category 3: Algorithms,Deep difference calculator,Object comparison
102,https://github.com/mahmoud/boltons,Category 3: Algorithms,Python utilities,Stdlib extensions
103,https://github.com/pytoolz/toolz,Category 3: Algorithms,Functional utilities,Functional programming helpers
104,https://github.com/more-itertools/more-itertools,Category 3: Algorithms,Extended itertools,Iterator utilities
105,https://github.com/jd/tenacity,Category 3: Algorithms,Retry library,Flexible retry mechanism
106,https://github.com/omry/omegaconf,Category 3: Algorithms,Hierarchical configuration,YAML/dataclass configs
107,https://github.com/facebookresearch/hydra,Category 3: Algorithms,Configuration framework,Dynamic config composition
108,https://github.com/dry-python/returns,Category 3: Algorithms,Typed functional primitives,"Maybe, Result types"
109,https://github.com/tobgu/pyrsistent,Category 3: Algorithms,Persistent data structures,Immutable collections
110,https://github.com/tkem/cachetools,Category 3: Algorithms,Extensible memoizing,Various cache algorithms
111,https://github.com/hynek/attrs,Category 3: Algorithms,Classes without boilerplate,Attribute management
112,https://github.com/python-attrs/cattrs,Category 3: Algorithms,Complex objects structuring,Serialization/deserialization
113,https://github.com/Farama-Foundation/Gymnasium,Category 4: Scientific Computing,Maintained Gym fork,Active RL environment library
114,https://github.com/DLR-RM/stable-baselines3,Category 4: Scientific Computing,PyTorch RL algorithms,Production-ready RL
115,https://github.com/thu-ml/tianshou,Category 4: Scientific Computing,RL library,PyTorch RL platform
116,https://github.com/google/dopamine,Category 4: Scientific Computing,RL research framework,TensorFlow RL research
117,https://github.com/AI4Finance-Foundation/FinRL,Category 4: Scientific Computing,Financial RL,Trading with RL
118,https://github.com/scipy/scipy,Category 4: Scientific Computing,Scientific computing,Core scientific library
119,https://github.com/statsmodels/statsmodels,Category 4: Scientific Computing,Statistical models,Statistics library
120,https://github.com/arviz-devs/arviz,Category 4: Scientific Computing,Bayesian visualization,Exploratory Bayesian analysis
121,https://github.com/pyro-ppl/pyro,Category 4: Scientific Computing,Probabilistic programming,Deep probabilistic modeling
122,https://github.com/pyro-ppl/numpyro,Category 4: Scientific Computing,NumPyro,JAX-based probabilistic
123,https://github.com/cornellius-gp/gpytorch,Category 4: Scientific Computing,Gaussian processes,GP implementation
124,https://github.com/pytorch/botorch,Category 4: Scientific Computing,Bayesian optimization,BO library
125,https://github.com/facebookresearch/nevergrad,Category 4: Scientific Computing,Gradient-free optimization,Derivative-free optimization
126,https://github.com/optuna/optuna,Category 4: Scientific Computing,Hyperparameter optimization,AutoML framework
127,https://github.com/hyperopt/hyperopt,Category 4: Scientific Computing,Hyperparameter optimization,Distributed optimization
128,https://github.com/pycaret/pycaret,Category 4: Scientific Computing,Low-code ML,Easy ML workflows
129,https://github.com/EpistasisLab/tpot,Category 4: Scientific Computing,Automated ML,Genetic programming ML
130,https://github.com/dask/dask,Category 4: Scientific Computing,Parallel computing,Scalable analytics
131,https://github.com/modin-project/modin,Category 4: Scientific Computing,Parallel pandas,Scalable dataframes
132,https://github.com/pola-rs/polars,Category 4: Scientific Computing,Fast DataFrames,Rust-based DataFrames
133,https://github.com/numba/numba,Category 4: Scientific Computing,JIT compiler,Fast numerical code
134,https://github.com/cupy/cupy,Category 4: Scientific Computing,GPU NumPy,CUDA arrays
135,https://github.com/taichi-dev/taichi,Category 4: Scientific Computing,Graphics programming,High-performance computing
136,https://github.com/pallets/itsdangerous,Category 5: Small Frameworks,Data signing library,Cryptographic signing
137,https://github.com/Textualize/rich,Category 5: Small Frameworks,Rich text terminal,Beautiful terminal output
138,https://github.com/tqdm/tqdm,Category 5: Small Frameworks,Progress bar,Fast progress bars
139,https://github.com/Textualize/textual,Category 5: Small Frameworks,TUI framework,Terminal UI
140,https://github.com/prompt-toolkit/python-prompt-toolkit,Category 5: Small Frameworks,Interactive CLI,Command line toolkit
141,https://github.com/tartley/colorama,Category 5: Small Frameworks,Cross-platform colored terminal,Terminal colors
142,https://github.com/Delgan/loguru,Category 5: Small Frameworks,Logging made simple,Better logging
143,https://github.com/hynek/structlog,Category 5: Small Frameworks,Structured logging,Structured log events
144,https://github.com/gruns/icecream,Category 5: Small Frameworks,Print debugging,Better print debugging
145,https://github.com/cool-RR/PySnooper,Category 5: Small Frameworks,Debug decorator,Never use print again
146,https://github.com/inducer/pudb,Category 5: Small Frameworks,Visual debugger,Full-screen debugger
147,https://github.com/HypothesisWorks/hypothesis,Category 5: Small Frameworks,Property-based testing,Generative testing
148,https://github.com/spulec/moto,Category 5: Small Frameworks,AWS mocking,Mock AWS services
149,https://github.com/kevin1024/vcrpy,Category 5: Small Frameworks,HTTP recording,Record HTTP interactions
150,https://github.com/getsentry/responses,Category 5: Small Frameworks,Requests mocking,Mock HTTP responses
151,https://github.com/aio-libs/aiohttp,Category 5: Small Frameworks,Async HTTP,Async web framework
152,https://github.com/MagicStack/uvloop,Category 5: Small Frameworks,Fast event loop,Drop-in asyncio replacement
153,https://github.com/python-trio/trio,Category 5: Small Frameworks,Async I/O library,Alternative to asyncio
154,https://github.com/agronholm/anyio,Category 5: Small Frameworks,Async compatibility,Backend-agnostic async
155,https://github.com/benoitc/gunicorn,Category 5: Small Frameworks,WSGI HTTP server,Production web server
156,https://github.com/encode/uvicorn,Category 5: Small Frameworks,ASGI server,Fast ASGI server
157,https://github.com/falconry/falcon,Category 5: Small Frameworks,REST framework,Minimal REST API
158,https://github.com/bottlepy/bottle,Category 5: Small Frameworks,Micro web framework,Single file framework
159,https://github.com/cherrypy/cherrypy,Category 5: Small Frameworks,Web framework,Object-oriented framework
160,https://github.com/sanic-org/sanic,Category 5: Small Frameworks,Async web framework,Fast async HTTP
161,https://github.com/marshmallow-code/marshmallow,Category 5: Small Frameworks,Serialization library,Object serialization
162,https://github.com/pygame/pygame,Category 6: Visualization and Games,Game development library,Python game framework
163,https://github.com/pythonarcade/arcade,Category 6: Visualization and Games,2D game library,Modern game library
164,https://github.com/pyglet/pyglet,Category 6: Visualization and Games,OpenGL library,Windowing and multimedia
165,https://github.com/kitao/pyxel,Category 6: Visualization and Games,Retro game engine,Fantasy console
166,https://github.com/lordmauve/pgzero,Category 6: Visualization and Games,Pygame Zero,Simplified pygame
167,https://github.com/PySimpleGUI/PySimpleGUI,Category 6: Visualization and Games,Simple GUI,Easy GUI creation
168,https://github.com/kivy/kivy,Category 6: Visualization and Games,Cross-platform UI,Mobile/desktop UI
169,https://github.com/niklasf/python-chess,Category 6: Visualization and Games,Chess library,Move generation
170,https://github.com/plotly/plotly.py,Category 6: Visualization and Games,Interactive visualization,Interactive plots
171,https://github.com/bokeh/bokeh,Category 6: Visualization and Games,Interactive visualization,Browser-based plots
172,https://github.com/altair-viz/altair,Category 6: Visualization and Games,Declarative visualization,Vega-Lite wrapper
173,https://github.com/holoviz/holoviews,Category 6: Visualization and Games,High-level visualization,Data-driven plotting
174,https://github.com/has2k1/plotnine,Category 6: Visualization and Games,Grammar of graphics,ggplot2 for Python
175,https://github.com/pyqtgraph/pyqtgraph,Category 6: Visualization and Games,Scientific graphics,Fast plotting
176,https://github.com/pyvista/pyvista,Category 6: Visualization and Games,3D visualization,VTK wrapper
177,https://github.com/jakevdp/PythonDataScienceHandbook,Category 7: Educational,Data science book,Jupyter notebooks
178,https://github.com/ageron/handson-ml2,Category 7: Educational,ML book code,Hands-on ML book
179,https://github.com/ageron/handson-ml3,Category 7: Educational,ML book 3rd edition,Updated ML book
180,https://github.com/wesm/pydata-book,Category 7: Educational,Python for Data Analysis,Classic data book
181,https://github.com/fchollet/deep-learning-with-python-notebooks,Category 7: Educational,Deep learning book,Keras creator's book
182,https://github.com/fastai/fastbook,Category 7: Educational,FastAI book,Practical deep learning
183,https://github.com/fastai/fastai,Category 7: Educational,FastAI library,Deep learning library
184,https://github.com/d2l-ai/d2l-en,Category 7: Educational,Dive into Deep Learning,Interactive DL book
185,https://github.com/probml/pyprobml,Category 7: Educational,Probabilistic ML book,Murphy's book code
186,https://github.com/joelgrus/data-science-from-scratch,Category 7: Educational,Data science book,From scratch implementations
187,https://github.com/trekhleb/learn-python,Category 7: Educational,Python learning,Language features
188,https://github.com/jerry-git/learn-python3,Category 7: Educational,Python 3 learning,Jupyter tutorials
189,https://github.com/micropython/micropython,Category 8: Compilers,MicroPython,Python for microcontrollers
190,https://github.com/cython/cython,Category 8: Compilers,Python to C compiler,Optimizing compiler
191,https://github.com/Nuitka/Nuitka,Category 8: Compilers,Python compiler,Compiles to C
192,https://github.com/RustPython/RustPython,Category 8: Compilers,Python in Rust,Rust implementation
193,https://github.com/dabeaz/ply,Category 8: Compilers,Python lex-yacc,Classic parser tools
194,https://github.com/pyparsing/pyparsing,Category 8: Compilers,Parsing module,Grammar-based parsing
195,https://github.com/erikrose/parsimonious,Category 8: Compilers,PEG parser,Clean PEG parser
196,https://github.com/pandas-dev/pandas,Category 9: Data Processing,Data analysis library,Core data library
197,https://github.com/numpy/numpy,Category 9: Data Processing,Numerical computing,Core numerical library
198,https://github.com/apache/airflow,Category 9: Data Processing,Workflow management,DAG scheduling
199,https://github.com/prefecthq/prefect,Category 9: Data Processing,Modern workflow,Dataflow automation
200,https://github.com/dagster-io/dagster,Category 9: Data Processing,Data orchestrator,Data pipeline tool
201,https://github.com/spotify/luigi,Category 9: Data Processing,Pipeline framework,Batch processing
202,https://github.com/great-expectations/great_expectations,Category 9: Data Processing,Data validation,Data quality
203,https://github.com/pandera-dev/pandera,Category 9: Data Processing,DataFrame validation,Type checking for data
204,https://github.com/mlflow/mlflow,Category 9: Data Processing,ML lifecycle,Experiment tracking
205,https://github.com/wandb/wandb,Category 9: Data Processing,ML experiment tracking,Experiment management
206,https://github.com/iterative/dvc,Category 9: Data Processing,Data version control,ML data versioning
207,https://github.com/evidentlyai/evidently,Category 9: Data Processing,ML monitoring,Model monitoring
208,https://github.com/secdev/scapy,Category 10: Networking and Security,Packet manipulation,Network tool
209,https://github.com/gevent/gevent,Category 10: Networking and Security,Coroutine networking,Green threads
210,https://github.com/pyca/cryptography,Category 10: Networking and Security,Cryptographic recipes,Crypto library
211,https://github.com/Legrandin/pycryptodome,Category 10: Networking and Security,Cryptography library,PyCrypto fork
212,https://github.com/lucidrains/denoising-diffusion-pytorch,Category 1: From Scratch,Denoising diffusion implementation,Clean diffusion model
213,https://github.com/lucidrains/perceiver-pytorch,Category 1: From Scratch,Perceiver implementation,General perception model
214,https://github.com/lucidrains/reformer-pytorch,Category 1: From Scratch,Reformer implementation,Efficient transformer
215,https://github.com/lucidrains/linear-attention-transformer,Category 1: From Scratch,Linear attention transformer,Efficient attention
216,https://github.com/lucidrains/performer-pytorch,Category 1: From Scratch,Performer implementation,FAVOR+ attention
217,https://github.com/lucidrains/lambda-networks,Category 1: From Scratch,Lambda Networks,Attention alternative
218,https://github.com/lucidrains/bottleneck-transformer-pytorch,Category 1: From Scratch,Bottleneck Transformer,Vision transformer variant
219,https://github.com/lucidrains/g-mlp-pytorch,Category 1: From Scratch,gMLP implementation,MLP-based architecture
220,https://github.com/lucidrains/mlp-mixer-pytorch,Category 1: From Scratch,MLP-Mixer implementation,All-MLP architecture
221,https://github.com/lucidrains/res-mlp-pytorch,Category 1: From Scratch,ResMLP implementation,Residual MLP
222,https://github.com/lucidrains/memory-efficient-attention-pytorch,Category 1: From Scratch,Memory efficient attention,Flash attention style
223,https://github.com/lucidrains/flash-attention-jax,Category 1: From Scratch,Flash attention in JAX,Efficient attention JAX
224,https://github.com/arogozhnikov/einops,Category 5: Small Frameworks,Tensor operations,Flexible tensor manipulation
225,https://github.com/google/trax,Category 1: From Scratch,Deep learning library,"Clear code, Reformer"
226,https://github.com/facebookresearch/xformers,Category 1: From Scratch,Transformers building blocks,Efficient transformers
227,https://github.com/kingoflolz/mesh-transformer-jax,Category 1: From Scratch,GPT-J implementation,Large scale JAX training
228,https://github.com/BlinkDL/RWKV-LM,Category 1: From Scratch,RWKV language model,RNN-Transformer hybrid
229,https://github.com/BlinkDL/ChatRWKV,Category 1: From Scratch,ChatRWKV,RWKV chat model
230,https://github.com/alpa-projects/alpa,Category 1: From Scratch,Auto parallelization,JAX auto parallelism
231,https://github.com/young-geng/EasyLM,Category 1: From Scratch,Easy LLM training,JAX LLM framework
232,https://github.com/CarperAI/trlx,Category 1: From Scratch,RLHF library,Reinforcement learning from human feedback
233,https://github.com/lvwerra/trl,Category 1: From Scratch,Transformer RL,PPO for LLMs
234,https://github.com/huggingface/peft,Category 1: From Scratch,Parameter-efficient fine-tuning,"LoRA, prefix tuning"
235,https://github.com/TimDettmers/bitsandbytes,Category 1: From Scratch,8-bit optimizers,Quantization library
236,https://github.com/IST-DASLab/gptq,Category 1: From Scratch,GPT quantization,4-bit quantization
237,https://github.com/ggerganov/llama.cpp,Category 1: From Scratch,LLaMA in C++,CPU inference
238,https://github.com/abetlen/llama-cpp-python,Category 1: From Scratch,Python bindings for llama.cpp,Python LLaMA interface
239,https://github.com/vllm-project/vllm,Category 1: From Scratch,Fast LLM inference,PagedAttention
240,https://github.com/huggingface/text-generation-inference,Category 1: From Scratch,Text generation server,Production LLM serving
241,https://github.com/oobabooga/text-generation-webui,Category 1: From Scratch,Text generation UI,LLM web interface
242,https://github.com/lm-sys/FastChat,Category 1: From Scratch,FastChat,Training and serving
243,https://github.com/imartinez/privateGPT,Category 1: From Scratch,Private GPT,Local document QA
244,https://github.com/Significant-Gravitas/Auto-GPT,Category 1: From Scratch,Auto-GPT,Autonomous GPT
245,https://github.com/microsoft/guidance,Category 1: From Scratch,Guidance language,LLM control
246,https://github.com/microsoft/semantic-kernel,Category 1: From Scratch,Semantic Kernel,LLM orchestration
247,https://github.com/langchain-ai/langchain,Category 1: From Scratch,LangChain,LLM application framework
248,https://github.com/run-llama/llama_index,Category 1: From Scratch,LlamaIndex,Data framework for LLMs
249,https://github.com/openai/whisper,Category 1: From Scratch,Whisper ASR,Speech recognition
250,https://github.com/guillaumekln/faster-whisper,Category 1: From Scratch,Faster Whisper,CTranslate2 Whisper
251,https://github.com/m-bain/whisperX,Category 1: From Scratch,WhisperX,Whisper with alignment
252,https://github.com/Vaibhavs10/insanely-fast-whisper,Category 1: From Scratch,Fast Whisper,Optimized Whisper
253,https://github.com/sanchit-gandhi/whisper-jax,Category 1: From Scratch,Whisper JAX,JAX Whisper
254,https://github.com/jantic/DeOldify,Category 1: From Scratch,DeOldify,Image colorization
255,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,Category 1: From Scratch,CycleGAN pix2pix,Image translation
256,https://github.com/NVlabs/stylegan2,Category 1: From Scratch,StyleGAN2,Official TF impl
257,https://github.com/NVlabs/stylegan3,Category 1: From Scratch,StyleGAN3,Alias-free GAN
258,https://github.com/rosinality/stylegan2-pytorch,Category 1: From Scratch,StyleGAN2 PyTorch,Clean PyTorch impl
259,https://github.com/AliaksandrSiarohin/first-order-model,Category 1: From Scratch,First Order Motion,Motion transfer
260,https://github.com/deepfakes/faceswap,Category 1: From Scratch,Faceswap,Face swapping
261,https://github.com/iperov/DeepFaceLab,Category 1: From Scratch,DeepFaceLab,Face manipulation
262,https://github.com/serengil/deepface,Category 1: From Scratch,DeepFace,Face recognition
263,https://github.com/ageitgey/face_recognition,Category 1: From Scratch,Face recognition,Simple face rec
264,https://github.com/1adrianb/face-alignment,Category 1: From Scratch,Face alignment,2D/3D face landmarks
265,https://github.com/timesler/facenet-pytorch,Category 1: From Scratch,FaceNet PyTorch,Face recognition
266,https://github.com/deepinsight/insightface,Category 1: From Scratch,InsightFace,Face analysis
267,https://github.com/minivision-ai/photo2cartoon,Category 1: From Scratch,Photo2Cartoon,Image stylization
268,https://github.com/danielgatis/rembg,Category 1: From Scratch,Remove background,Background removal
269,https://github.com/nadermx/backgroundremover,Category 1: From Scratch,Background remover,Video bg removal
270,https://github.com/PeterL1n/RobustVideoMatting,Category 1: From Scratch,Robust Video Matting,Video matting
271,https://github.com/sberbank-ai/sber-swap,Category 1: From Scratch,SberSwap,Face swap
272,https://github.com/s0md3v/roop,Category 1: From Scratch,Roop,One-click face swap
273,https://github.com/facefusion/facefusion,Category 1: From Scratch,FaceFusion,Face manipulation
274,https://github.com/facebookresearch/audiocraft,Category 1: From Scratch,AudioCraft,Audio generation
275,https://github.com/facebookresearch/encodec,Category 1: From Scratch,EnCodec,Neural audio codec
276,https://github.com/svc-develop-team/so-vits-svc,Category 1: From Scratch,SO-VITS-SVC,Singing voice conversion
